Joint1,Joint2,Joint3,Joint4,X,Y,Z,R
-32.9,0,0,-26.3737,173.5494,-112.2742,135,-59.2737
-32.8,0,0,-26.3737,173.7451,-111.9711,135,-59.1737
-32.7,0,0,-26.3737,173.9403,-111.6677,135,-59.0737
-32.6,0,0,-26.3737,174.1349,-111.3639,135,-58.9737
-32.5,0,0,-26.3737,174.329,-111.0598,135,-58.8737
-32.4,0,0,-26.3737,174.5226,-110.7554,135,-58.7737
-32.3,0,0,-26.3737,174.7156,-110.4506,135,-58.6737
-32.2,0,0,-26.3737,174.9081,-110.1455,135,-58.5737
-32.1,0,0,-26.3737,175.1001,-109.8401,135,-58.4737
-32,0,0,-26.3737,175.2915,-109.5343,135,-58.3737
-31.9,0,0,-26.3737,175.4824,-109.2282,135,-58.2737
-31.8,0,0,-26.3737,175.6728,-108.9218,135,-58.1737
-31.7,0,0,-26.3737,175.8626,-108.615,135,-58.0737
-31.6,0,0,-26.3737,176.0519,-108.3079,135,-57.9737
-31.5,0,0,-26.3737,176.2407,-108.0005,135,-57.8737
-31.4,0,0,-26.3737,176.4289,-107.6927,135,-57.7737
-31.3,0,0,-26.3737,176.6166,-107.3846,135,-57.6737
-31.2,0,0,-26.3737,176.8038,-107.0762,135,-57.5737
-31.1,0,0,-26.3737,176.9904,-106.7674,135,-57.4737
-31,0,0,-26.3737,177.1765,-106.4584,135,-57.3737
-30.9,0,0,-26.3737,177.362,-106.149,135,-57.2737
-30.8,0,0,-26.3737,177.547,-105.8393,135,-57.1737
-30.7,0,0,-26.3737,177.7314,-105.5292,135,-57.0737
-30.6,0,0,-26.3737,177.9154,-105.2189,135,-56.9737
-30.5,0,0,-26.3737,178.0987,-104.9082,135,-56.8737
-30.4,0,0,-26.3737,178.2816,-104.5972,135,-56.7737
-30.3,0,0,-26.3737,178.4639,-104.2859,135,-56.6737
-30.2,0,0,-26.3737,178.6456,-103.9742,135,-56.5737
-30.1,0,0,-26.3737,178.8268,-103.6623,135,-56.4737
-30,0,0,-26.3737,179.0074,-103.35,135,-56.3737
-29.9,0,0,-26.3737,179.1876,-103.0374,135,-56.2737
-29.8,0,0,-26.3737,179.3671,-102.7245,135,-56.1737
-29.7,0,0,-26.3737,179.5461,-102.4113,135,-56.0737
-29.6,0,0,-26.3737,179.7246,-102.0978,135,-55.9737
-29.5,0,0,-26.3737,179.9025,-101.784,135,-55.8737
-29.4,0,0,-26.3737,180.0799,-101.4698,135,-55.7737
-29.3,0,0,-26.3737,180.2567,-101.1553,135,-55.6737
-29.2,0,0,-26.3737,180.433,-100.8406,135,-55.5737
-29.1,0,0,-26.3737,180.6087,-100.5255,135,-55.4737
-29,0,0,-26.3737,180.7839,-100.2102,135,-55.3737
-28.9,0,0,-26.3737,180.9585,-99.8945,135,-55.2737
-28.8,0,0,-26.3737,181.1326,-99.5785,135,-55.1737
-28.7,0,0,-26.3737,181.3061,-99.2622,135,-55.0737
-28.6,0,0,-26.3737,181.4791,-98.9456,135,-54.9737
-28.5,0,0,-26.3737,181.6515,-98.6287,135,-54.8737
-28.4,0,0,-26.3737,181.8233,-98.3115,135,-54.7737
-28.3,0,0,-26.3737,181.9947,-97.994,135,-54.6737
-28.2,0,0,-26.3737,182.1654,-97.6762,135,-54.5737
-28.1,0,0,-26.3737,182.3356,-97.3582,135,-54.4737
-28,0,0,-26.3737,182.5053,-97.0398,135,-54.3737
-27.9,0,0,-26.3737,182.6743,-96.7211,135,-54.2737
-27.8,0,0,-26.3737,182.8429,-96.4021,135,-54.1737
-27.7,0,0,-26.3737,183.0109,-96.0828,135,-54.0737
-27.6,0,0,-26.3737,183.1783,-95.7633,135,-53.9737
-27.5,0,0,-26.3737,183.3451,-95.4434,135,-53.8737
-27.4,0,0,-26.3737,183.5114,-95.1233,135,-53.7737
-27.3,0,0,-26.3737,183.6772,-94.8029,135,-53.6737
-27.2,0,0,-26.3737,183.8424,-94.4821,135,-53.5737
-27.1,0,0,-26.3737,184.007,-94.1611,135,-53.4737
-27,0,0,-26.3737,184.171,-93.8398,135,-53.3737
-26.9,0,0,-26.3737,184.3345,-93.5183,135,-53.2737
-26.8,0,0,-26.3737,184.4975,-93.1964,135,-53.1737
-26.7,0,0,-26.3737,184.6599,-92.8742,135,-53.0737
-26.6,0,0,-26.3737,184.8217,-92.5518,135,-52.9737
-26.5,0,0,-26.3737,184.9829,-92.2291,135,-52.8737
-26.4,0,0,-26.3737,185.1436,-91.9061,135,-52.7737
-26.3,0,0,-26.3737,185.3037,-91.5828,135,-52.6737
-26.2,0,0,-26.3737,185.4633,-91.2593,135,-52.5737
-26.1,0,0,-26.3737,185.6223,-90.9354,135,-52.4737
-26,0,0,-26.3737,185.7807,-90.6113,135,-52.3737
-25.9,0,0,-26.3737,185.9386,-90.2869,135,-52.2737
-25.8,0,0,-26.3737,186.0959,-89.9623,135,-52.1737
-25.7,0,0,-26.3737,186.2526,-89.6373,135,-52.0737
-25.6,0,0,-26.3737,186.4088,-89.3121,135,-51.9737
-25.5,0,0,-26.3737,186.5644,-88.9866,135,-51.8737
-25.4,0,0,-26.3737,186.7194,-88.6609,135,-51.7737
-25.3,0,0,-26.3737,186.8739,-88.3349,135,-51.6737
-25.2,0,0,-26.3737,187.0278,-88.0086,135,-51.5737
-25.1,0,0,-26.3737,187.1811,-87.682,135,-51.4737
-25,0,0,-26.3737,187.3338,-87.3552,135,-51.3737
-24.9,0,0,-26.3737,187.486,-87.0281,135,-51.2737
-24.8,0,0,-26.3737,187.6376,-86.7007,135,-51.1737
-24.7,0,0,-26.3737,187.7886,-86.3731,135,-51.0737
-24.6,0,0,-26.3737,187.9391,-86.0452,135,-50.9737
-24.5,0,0,-26.3737,188.089,-85.7171,135,-50.8737
-24.4,0,0,-26.3737,188.2383,-85.3887,135,-50.7737
-24.3,0,0,-26.3737,188.3871,-85.06,135,-50.6737
-24.2,0,0,-26.3737,188.5352,-84.7311,135,-50.5737
-24.1,0,0,-26.3737,188.6828,-84.4019,135,-50.4737
-24,0,0,-26.3737,188.8298,-84.0725,135,-50.3737
-23.9,0,0,-26.3737,188.9763,-83.7428,135,-50.2737
-23.8,0,0,-26.3737,189.1222,-83.4128,135,-50.1737
-23.7,0,0,-26.3737,189.2675,-83.0826,135,-50.0737
-23.6,0,0,-26.3737,189.4122,-82.7521,135,-49.9737
-23.5,0,0,-26.3737,189.5563,-82.4214,135,-49.8737
-23.4,0,0,-26.3737,189.6999,-82.0905,135,-49.7737
-23.3,0,0,-26.3737,189.8429,-81.7592,135,-49.6737
-23.2,0,0,-26.3737,189.9853,-81.4278,135,-49.5737
-23.1,0,0,-26.3737,190.1271,-81.0961,135,-49.4737
-23,0,0,-26.3737,190.2684,-80.7641,135,-49.3737
-22.9,0,0,-26.3737,190.409,-80.4319,135,-49.2737
-22.8,0,0,-26.3737,190.5491,-80.0995,135,-49.1737
-22.7,0,0,-26.3737,190.6886,-79.7668,135,-49.0737
-22.6,0,0,-26.3737,190.8275,-79.4338,135,-48.9737
-22.5,0,0,-26.3737,190.9659,-79.1007,135,-48.8737
-22.4,0,0,-26.3737,191.1037,-78.7672,135,-48.7737
-22.3,0,0,-26.3737,191.2408,-78.4336,135,-48.6737
-22.2,0,0,-26.3737,191.3775,-78.0997,135,-48.5737
-22.1,0,0,-26.3737,191.5135,-77.7656,135,-48.4737
-22,0,0,-26.3737,191.6489,-77.4312,135,-48.3737
-21.9,0,0,-26.3737,191.7838,-77.0966,135,-48.2737
-21.8,0,0,-26.3737,191.918,-76.7617,135,-48.1737
-21.7,0,0,-26.3737,192.0517,-76.4267,135,-48.0737
-21.6,0,0,-26.3737,192.1848,-76.0913,135,-47.9737
-21.5,0,0,-26.3737,192.3173,-75.7558,135,-47.8737
-21.4,0,0,-26.3737,192.4492,-75.42,135,-47.7737
-21.3,0,0,-26.3737,192.5806,-75.084,135,-47.6737
-21.2,0,0,-26.3737,192.7113,-74.7478,135,-47.5737
-21.1,0,0,-26.3737,192.8415,-74.4113,135,-47.4737
-21,0,0,-26.3737,192.9711,-74.0747,135,-47.3737
-20.9,0,0,-26.3737,193.1001,-73.7377,135,-47.2737
-20.8,0,0,-26.3737,193.2285,-73.4006,135,-47.1737
-20.7,0,0,-26.3737,193.3563,-73.0633,135,-47.0737
-20.6,0,0,-26.3737,193.4835,-72.7257,135,-46.9737
-20.5,0,0,-26.3737,193.6101,-72.3879,135,-46.8737
-20.4,0,0,-26.3737,193.7362,-72.0498,135,-46.7737
-20.3,0,0,-26.3737,193.8616,-71.7116,135,-46.6737
-20.2,0,0,-26.3737,193.9865,-71.3731,135,-46.5737
-20.1,0,0,-26.3737,194.1108,-71.0345,135,-46.4737
-20,0,0,-26.3737,194.2345,-70.6956,135,-46.3737
-19.9,0,0,-26.3737,194.3576,-70.3565,135,-46.2737
-19.8,0,0,-26.3737,194.4801,-70.0171,135,-46.1737
-19.7,0,0,-26.3737,194.602,-69.6776,135,-46.0737
-19.6,0,0,-26.3737,194.7233,-69.3378,135,-45.9737
-19.5,0,0,-26.3737,194.844,-68.9979,135,-45.8737
-19.4,0,0,-26.3737,194.9641,-68.6577,135,-45.7737
-19.3,0,0,-26.3737,195.0837,-68.3173,135,-45.6737
-19.2,0,0,-26.3737,195.2026,-67.9767,135,-45.5737
-19.1,0,0,-26.3737,195.3209,-67.6359,135,-45.4737
-19,0,0,-26.3737,195.4387,-67.2949,135,-45.3737
-18.9,0,0,-26.3737,195.5558,-66.9537,135,-45.2737
-18.8,0,0,-26.3737,195.6724,-66.6123,135,-45.1737
-18.7,0,0,-26.3737,195.7884,-66.2707,135,-45.0737
-18.6,0,0,-26.3737,195.9037,-65.9289,135,-44.9737
-18.5,0,0,-26.3737,196.0185,-65.5869,135,-44.8737
-18.4,0,0,-26.3737,196.1327,-65.2447,135,-44.7737
-18.3,0,0,-26.3737,196.2462,-64.9022,135,-44.6737
-18.2,0,0,-26.3737,196.3592,-64.5596,135,-44.5737
-18.1,0,0,-26.3737,196.4716,-64.2168,135,-44.4737
-18,0,0,-26.3737,196.5834,-63.8738,135,-44.3737
-17.9,0,0,-26.3737,196.6946,-63.5306,135,-44.2737
-17.8,0,0,-26.3737,196.8051,-63.1872,135,-44.1737
-17.7,0,0,-26.3737,196.9151,-62.8436,135,-44.0737
-17.6,0,0,-26.3737,197.0245,-62.4999,135,-43.9737
-17.5,0,0,-26.3737,197.1333,-62.1559,135,-43.8737
-17.4,0,0,-26.3737,197.2415,-61.8117,135,-43.7737
-17.3,0,0,-26.3737,197.3491,-61.4674,135,-43.6737
-17.2,0,0,-26.3737,197.456,-61.1229,135,-43.5737
-17.1,0,0,-26.3737,197.5624,-60.7781,135,-43.4737
-17,0,0,-26.3737,197.6682,-60.4332,135,-43.3737
-16.9,0,0,-26.3737,197.7734,-60.0881,135,-43.2737
-16.8,0,0,-26.3737,197.8779,-59.7429,135,-43.1737
-16.7,0,0,-26.3737,197.9819,-59.3974,135,-43.0737
-16.6,0,0,-26.3737,198.0853,-59.0518,135,-42.9737
-16.5,0,0,-26.3737,198.188,-58.706,135,-42.8737
-16.4,0,0,-26.3737,198.2902,-58.36,135,-42.7737
-16.3,0,0,-26.3737,198.3918,-58.0138,135,-42.6737
-16.2,0,0,-26.3737,198.4927,-57.6675,135,-42.5737
-16.1,0,0,-26.3737,198.593,-57.3209,135,-42.4737
-16,0,0,-26.3737,198.6928,-56.9742,135,-42.3737
-15.9,0,0,-26.3737,198.7919,-56.6274,135,-42.2737
-15.8,0,0,-26.3737,198.8905,-56.2803,135,-42.1737
-15.7,0,0,-26.3737,198.9884,-55.9331,135,-42.0737
-15.6,0,0,-26.3737,199.0857,-55.5857,135,-41.9737
-15.5,0,0,-26.3737,199.1824,-55.2382,135,-41.8737
-15.4,0,0,-26.3737,199.2785,-54.8904,135,-41.7737
-15.3,0,0,-26.3737,199.374,-54.5426,135,-41.6737
-15.2,0,0,-26.3737,199.4689,-54.1945,135,-41.5737
-15.1,0,0,-26.3737,199.5632,-53.8463,135,-41.4737
-15,0,0,-26.3737,199.6569,-53.4979,135,-41.3737
-14.9,0,0,-26.3737,199.7499,-53.1493,135,-41.2737
-14.8,0,0,-26.3737,199.8424,-52.8006,135,-41.1737
-14.7,0,0,-26.3737,199.9342,-52.4518,135,-41.0737
-14.6,0,0,-26.3737,200.0255,-52.1027,135,-40.9737
-14.5,0,0,-26.3737,200.1161,-51.7536,135,-40.8737
-14.4,0,0,-26.3737,200.2061,-51.4042,135,-40.7737
-14.3,0,0,-26.3737,200.2956,-51.0547,135,-40.6737
-14.2,0,0,-26.3737,200.3844,-50.705,135,-40.5737
-14.1,0,0,-26.3737,200.4725,-50.3552,135,-40.4737
-14,0,0,-26.3737,200.5601,-50.0053,135,-40.3737
-13.9,0,0,-26.3737,200.6471,-49.6551,135,-40.2737
-13.8,0,0,-26.3737,200.7335,-49.3049,135,-40.1737
-13.7,0,0,-26.3737,200.8192,-48.9544,135,-40.0737
-13.6,0,0,-26.3737,200.9043,-48.6039,135,-39.9737
-13.5,0,0,-26.3737,200.9889,-48.2532,135,-39.8737
-13.4,0,0,-26.3737,201.0728,-47.9023,135,-39.7737
-13.3,0,0,-26.3737,201.1561,-47.5513,135,-39.6737
-13.2,0,0,-26.3737,201.2388,-47.2001,135,-39.5737
-13.1,0,0,-26.3737,201.3208,-46.8488,135,-39.4737
-13,0,0,-26.3737,201.4023,-46.4974,135,-39.3737
-12.9,0,0,-26.3737,201.4832,-46.1458,135,-39.2737
-12.8,0,0,-26.3737,201.5634,-45.7941,135,-39.1737
-12.7,0,0,-26.3737,201.643,-45.4422,135,-39.0737
-12.6,0,0,-26.3737,201.722,-45.0902,135,-38.9737
-12.5,0,0,-26.3737,201.8004,-44.7381,135,-38.8737
-12.4,0,0,-26.3737,201.8782,-44.3858,135,-38.7737
-12.3,0,0,-26.3737,201.9553,-44.0334,135,-38.6737
-12.2,0,0,-26.3737,202.0319,-43.6808,135,-38.5737
-12.1,0,0,-26.3737,202.1078,-43.3282,135,-38.4737
-12,0,0,-26.3737,202.1831,-42.9753,135,-38.3737
-11.9,0,0,-26.3737,202.2578,-42.6224,135,-38.2737
-11.8,0,0,-26.3737,202.3319,-42.2693,135,-38.1737
-11.7,0,0,-26.3737,202.4053,-41.9161,135,-38.0737
-11.6,0,0,-26.3737,202.4782,-41.5628,135,-37.9737
-11.5,0,0,-26.3737,202.5504,-41.2094,135,-37.8737
-11.4,0,0,-26.3737,202.6221,-40.8558,135,-37.7737
-11.3,0,0,-26.3737,202.6931,-40.5021,135,-37.6737
-11.2,0,0,-26.3737,202.7634,-40.1482,135,-37.5737
-11.1,0,0,-26.3737,202.8332,-39.7943,135,-37.4737
-11,0,0,-26.3737,202.9023,-39.4402,135,-37.3737
-10.9,0,0,-26.3737,202.9709,-39.086,135,-37.2737
-10.8,0,0,-26.3737,203.0388,-38.7317,135,-37.1737
-10.7,0,0,-26.3737,203.1061,-38.3773,135,-37.0737
-10.6,0,0,-26.3737,203.1727,-38.0227,135,-36.9737
-10.5,0,0,-26.3737,203.2388,-37.6681,135,-36.8737
-10.4,0,0,-26.3737,203.3042,-37.3133,135,-36.7737
-10.3,0,0,-26.3737,203.369,-36.9584,135,-36.6737
-10.2,0,0,-26.3737,203.4332,-36.6034,135,-36.5737
-10.1,0,0,-26.3737,203.4968,-36.2483,135,-36.4737
-10,0,0,-26.3737,203.5598,-35.8931,135,-36.3737
-9.9,0,0,-26.3737,203.6221,-35.5377,135,-36.2737
-9.8,0,0,-26.3737,203.6838,-35.1823,135,-36.1737
-9.7,0,0,-26.3737,203.7449,-34.8268,135,-36.0737
-9.6,0,0,-26.3737,203.8054,-34.4711,135,-35.9737
-9.5,0,0,-26.3737,203.8652,-34.1153,135,-35.8737
-9.4,0,0,-26.3737,203.9245,-33.7595,135,-35.7737
-9.3,0,0,-26.3737,203.9831,-33.4035,135,-35.6737
-9.2,0,0,-26.3737,204.0411,-33.0474,135,-35.5737
-9.1,0,0,-26.3737,204.0984,-32.6913,135,-35.4737
-9,0,0,-26.3737,204.1552,-32.335,135,-35.3737
-8.9,0,0,-26.3737,204.2113,-31.9786,135,-35.2737
-8.8,0,0,-26.3737,204.2668,-31.6222,135,-35.1737
-8.7,0,0,-26.3737,204.3217,-31.2656,135,-35.0737
-8.6,0,0,-26.3737,204.3759,-30.909,135,-34.9737
-8.5,0,0,-26.3737,204.4296,-30.5522,135,-34.8737
-8.4,0,0,-26.3737,204.4826,-30.1954,135,-34.7737
-8.3,0,0,-26.3737,204.535,-29.8384,135,-34.6737
-8.2,0,0,-26.3737,204.5867,-29.4814,135,-34.5737
-8.1,0,0,-26.3737,204.6379,-29.1243,135,-34.4737
-8,0,0,-26.3737,204.6884,-28.7671,135,-34.3737
-7.9,0,0,-26.3737,204.7383,-28.4098,135,-34.2737
-7.8,0,0,-26.3737,204.7876,-28.0524,135,-34.1737
-7.7,0,0,-26.3737,204.8362,-27.6949,135,-34.0737
-7.6,0,0,-26.3737,204.8842,-27.3374,135,-33.9737
-7.5,0,0,-26.3737,204.9317,-26.9798,135,-33.8737
-7.4,0,0,-26.3737,204.9784,-26.622,135,-33.7737
